,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
3831,be designated for,be donated for,a computer be designated for work,a computer be donated for work,No,1.0
3832,be the kind of,have a variety of,Matt be the kind of friends,Matt have a variety of friends,No,1.0
3833,lose about,need to lose,the United States lose about a million soldiers,the United States need to lose a million soldiers,No,1.0
3834,nurture,capitalize,my art teachers nurture my talent,my art teachers capitalize my talent,No,1.0
3835,own,purchase,most of us own these items,most of us purchase these items,No,1.0
3836,drop off,be necessary to@R@,residents drop off recyclable materials,recyclable materials be necessary to residents,No,1.0
3837,find each of,review all of,Readers find each of these books,Readers review all of these books,No,1.0
3838,be an array of,contain the number of,the return value be an array of the result,the return value contain the number of the result,No,1.0
3839,be ready to take,refuse to take,the user be ready to take the shot,the user refuse to take the shot,No,1.0
3840,stretch between,tie a knot in@R@,the membrane stretch between the fingers,the fingers tie a knot in the membrane,No,1.0
3841,say wonderful thing about,point this out to,The staff say wonderful thing about him,The staff point this out to him,No,1.0
3842,start to feel like,act like,my legs start to feel like lead,my legs act like lead,No,1.0
3843,depend on,be important to,Thailand depend on exports,Thailand be important to exports,No,1.0
3844,take care of,speak for,Parents take care of their personal needs,Parents speak for their personal needs,No,1.0
3845,share,rely on,The experts share their experiences,The experts rely on their experiences,No,1.0
3846,offer to,be free to,a hotel offer to its clients,a hotel be free to its clients,No,1.0
3847,die for,die in,the Lord Jesus Christ die for the sins of the world,the Lord Jesus Christ die in the sins of the world,No,1.0
3848,be organised at,be organised with,Additional sessions be organised at Brussels,Additional sessions be organised with Brussels,No,1.0
3849,like to purchase,go to purchase,Consumers like to purchase a pair,Consumers go to purchase a pair,No,1.0
3850,drive from,fly in from,Hastings drive from Napier,Hastings fly in from Napier,No,1.0
3851,provide something for,be free to,the menu provide something for all tastes,the menu be free to all tastes,No,1.0
3852,be shot in,be elected sheriff of,The singer be shot in New York,The singer be elected sheriff of New York,No,1.0
3853,be told to have,make the decision to have,women be told to have a career,women make the decision to have a career,No,1.0
3854,irk,stick out to,the move irk shareholders,the move stick out to shareholders,No,1.0
3855,come to call,be called the father of,Jesus Christ come to call the righteous,Jesus Christ be called the father of the righteous,No,1.0
3856,be simple to,be difficult to,The questions be simple to state,The questions be difficult to state,No,1.0
3857,be considered without,be accepted without,the market be considered without a trend,the market be accepted without a trend,No,1.0
3858,play on,be televised live on,The bands play on an elevated stage,The bands be televised live on an elevated stage,No,1.0
3859,run outside,run between,an application program run outside the operating system,an application program run between the operating system,No,1.0
3860,launch,co-founded,Leanne launch Safeguard Innovations,Leanne co-founded Safeguard Innovations,No,1.0
3861,be prepared for,be visualized by,Retailers be prepared for a downturn,Retailers be visualized by a downturn,No,1.0
3862,share,store,The experts share their experiences,The experts store their experiences,No,1.0
3863,disagree with,be rated above,Many people disagree with the following statement,Many people be rated above the following statement,No,1.0
3864,take the case to,settle out of,The Government take the case to the Court of Appeal,The Government settle out of the Court of Appeal,No,1.0
3865,be a tool of,be a product of,Education be a tool of peace,Education be a product of peace,No,1.0
3866,pass,adopt,the guests pass the parcel,the guests adopt the parcel,No,1.0
3867,be uncommon for,be customary for,Support groups be uncommon for this condition,Support groups be customary for this condition,No,1.0
3868,relate to,be mentioned above,The colors relate to the body,The colors be mentioned above the body,No,1.0
3869,promise,fall for,the state promise confidentiality,the state fall for confidentiality,No,1.0
3870,be recognized at,be interrupted at,The winner be recognized at the Annual Meeting,The winner be interrupted at the Annual Meeting,No,1.0
3871,threaten,defend,husbands threaten their wives,husbands defend their wives,No,1.0
3872,fail to file,prepare,The claimant fail to file a motion,The claimant prepare a motion,No,1.0
3873,respond to,ignore,The seller respond to the amount of money,The seller ignore the amount of money,No,1.0
3874,repeat,resolve,The cycle repeat itself,The cycle resolve itself,No,1.0
3875,be afraid of,face,Elijah be afraid of him,Elijah face him,No,1.0
3876,approach,exceed,the temperature approach zero,the temperature exceed zero,No,1.0
3877,construct,revise,The organization construct a Web site,The organization revise a Web site,No,1.0
3878,be drawn to,speak of,some young people be drawn to these days,some young people speak of these days,No,1.0
3879,be 8 mile from,be 10 minute from,The hotel be 8 mile from Bristol International Airport,The hotel be 10 minute from Bristol International Airport,No,1.0
3880,reassemble,need to remove,Children reassemble the picture cards,Children need to remove the picture cards,No,1.0
3881,pinch,tug,Jesse pinch my right hand,Jesse tug my right hand,No,1.0
3882,be uncommon for,be impossible for,Support groups be uncommon for this condition,Support groups be impossible for this condition,No,1.0
3883,caress,see the expression on,Karen caress him,Karen see the expression on him,No,1.0
3884,be admitted,be shot,many students be admitted each year,many students be shot each year,No,1.0
3885,meet on,be closed on,The clubs meet on Long Island,The clubs be closed on Long Island,No,1.0
3886,spend five year at,go to work at,The Buddha spend five year at Rajgir,The Buddha go to work at Rajgir,No,1.0
3887,be fine for,be a problem for,the weather be fine for the BBQ,the weather be a problem for the BBQ,No,1.0
3888,be listed in,be summarised in,Your club be listed in our directory,Your club be summarised in our directory,No,1.0
3889,step in for,play better than,Michelle Obama step in for her husband,Michelle Obama play better than her husband,No,1.0
3890,bear the name of,be donated by,the dials bear the name of the retailer,the dials be donated by the retailer,No,1.0
3891,select,pursue,The player select the game,The player pursue the game,No,1.0
3892,get word to,mean to hurt,Jr. get word to Washington,Jr. mean to hurt Washington,No,1.0
3893,dont talk about,think a lot about,Women dont talk about these things,Women think a lot about these things,No,1.0
3894,be bad for,be safe for,the weather be bad for him,the weather be safe for him,No,1.0
3895,be used in,be studied in,herbs be used in combination,herbs be studied in combination,No,1.0
3896,confirm,decline to comment,The IRS confirm the decision,The IRS decline to comment the decision,No,1.0
3897,be target for,be immune from,these genes be target for new therapies,these genes be immune from new therapies,No,1.0
3898,need to upgrade,need to install,Bose need to upgrade this product,Bose need to install this product,No,1.0
3899,compete at,fail to qualify for,Team compete at Provincial,Team fail to qualify for Provincial,No,1.0
3900,be to fit,be to push,the most important things be to fit the shoulders,the most important things be to push the shoulders,No,1.0
3901,be important for,be critical to,Support groups be important for families,Support groups be critical to families,No,1.0
3902,be taken,be offered,This picture be taken last night,This picture be offered last night,No,1.0
3903,do nothing at,say anything at,Peter do nothing at the moment,Peter say anything at the moment,No,1.0
3904,seem to make,fail to make,This explanation seem to make sense,This explanation fail to make sense,No,1.0
3905,elaborate on,develop,The International Committee of the Red Cross elaborate on the Geneva Conventions,The International Committee of the Red Cross develop the Geneva Conventions,No,1.0
3906,be open to,be closed to,These meetings be open to the public,These meetings be closed to the public,No,1.0
3907,be per,be $ 200 per,The protection be per bank,The protection be $ 200 per bank,No,1.0
3908,pay attention to,take advantage of,the public pay attention to the warning,the public take advantage of the warning,No,1.0
3909,end up make,be interested in make,Google end up make billions,Google be interested in make billions,No,1.0
3910,be a sad day for,be a special day for,Yesterday be a sad day for this country,Yesterday be a special day for this country,No,1.0
3911,flip,rip,Investors flip properties,Investors rip properties,No,1.0
3912,be the victory of,be a travesty of,The result be the victory of fascism,The result be a travesty of fascism,No,1.0
3913,approach,inform,the supervisor approach him,the supervisor inform him,No,1.0
3914,be intended to be a substitute for,be to be used for,Our site be intended to be a substitute for professional medical advice,Our site be to be used for professional medical advice,No,1.0
3915,be deeper than,be closer than,bins be deeper than the shelf,bins be closer than the shelf,No,1.0
3916,meet on,be taught on,The Committee meet on February 18,The Committee be taught on February 18,No,1.0
3917,be a consultant to,begin his career at,Dan be a consultant to cities,Dan begin his career at cities,No,1.0
3918,be affected by,be hardest hit by,Children be affected by exposure,Children be hardest hit by exposure,No,1.0
3919,premiere,continue through,The channel premiere three shows,The channel continue through three shows,No,1.0
3920,spend the day in,spend more time in,The men spend the day in fellowship,The men spend more time in fellowship,No,1.0
3921,harangue,care a great deal about,the girl harangue her father,the girl care a great deal about her father,No,1.0
3922,interact with,be priced above,CoQ10 interact with vitamin,CoQ10 be priced above vitamin,No,1.0
3923,cut,run a hand through,the government cut funding,the government run a hand through funding,No,1.0
3924,show up,be killed,Jack show up one day,Jack be killed one day,No,1.0
3925,lose the war on,do nothing to prevent,America lose the war on terror,America do nothing to prevent terror,No,1.0
3926,drink during,call during,women drink during pregnancy,women call during pregnancy,No,1.0
3927,smile,sigh,his wife smile more,his wife sigh more,No,1.0
3928,be received at,be shipped from,Our case be received at the NVC,Our case be shipped from the NVC,No,1.0
3929,goad,belittle,Hezbollah goad the fight,Hezbollah belittle the fight,No,1.0
3930,trust,control,The horse trust his rider,The horse control his rider,No,1.0
3931,have a discussion with,have dinner with,Picard have a discussion with Guinan,Picard have dinner with Guinan,No,1.0
3932,have a bunch of,find a bunch of,Denver have a bunch of kids,Denver find a bunch of kids,No,1.0
3933,write in,describe in,Jefferson write in his diary,Jefferson describe in his diary,No,1.0
3934,be grateful for,pray for,the community be grateful for the support,the community pray for the support,No,1.0
3935,walk for,lay for,Men walk for two to three hours,Men lay for two to three hours,No,1.0
3936,learn to understand,act out,a man 's wife learn to understand him,a man 's wife act out him,No,1.0
3937,publish,write for,The New York Times publish the Pentagon Papers,The New York Times write for the Pentagon Papers,No,1.0
3938,despise,have nothing against,Ma despise him,Ma have nothing against him,No,1.0
3939,want to lose,seem to lose,those people want to lose weight,those people seem to lose weight,No,1.0
3940,be related to,be caused by,Hopelessness be related to depression,Hopelessness be caused by depression,No,1.0
3941,try to describe,write more about,Scientists try to describe the pattern,Scientists write more about the pattern,No,1.0
3942,have a break in,be excited to begin,Mary have a break in study,Mary be excited to begin study,No,1.0
3943,go out of,continue on,The media go out of their way,The media continue on their way,No,1.0
3944,be fearful of,overcome their fear of,Her two children be fearful of their father,Her two children overcome their fear of their father,No,1.0
3945,vote on,pass,The House vote on the report,The House pass the report,No,1.0
3946,respond to,adapt to,our staff respond to your contribution,our staff adapt to your contribution,No,1.0
3947,plant,fertilize,The women plant corn,The women fertilize corn,No,1.0
3948,aim,plug,The hunters aim their weapons,The hunters plug their weapons,No,1.0
3949,phone,meet with,The girls phone Prince Charles,The girls meet with Prince Charles,No,1.0
3950,type,be responsible for maintain the confidentiality of,the user type their credentials,the user be responsible for maintain the confidentiality of their credentials,No,1.0
3951,disagree with,do like,members disagree with leadership,members do like leadership,No,1.0
3952,kick off,wrap up,The festival kick off its second year,The festival wrap up its second year,No,1.0
3953,test,launch,gamers test their skills,gamers launch their skills,No,1.0
3954,respond to,ignore,our staff respond to your contribution,our staff ignore your contribution,No,1.0
3955,need to do to prepare for,get the result of,students need to do to prepare for the competition,students get the result of the competition,No,1.0
3956,get out of,be kept under,inflation get out of control,inflation be kept under control,No,1.0
3957,be simple to,take time to,The questions be simple to state,The questions take time to state,No,1.0
3958,be a member of,be an active member of,This user be a member of any groups,This user be an active member of any groups,No,1.0
3959,be component of,be a special type of,Archetypes be component of the collective unconscious,Archetypes be a special type of the collective unconscious,No,1.0
3960,be confidential in,be unauthorized in,these reports be confidential in nature,these reports be unauthorized in nature,No,1.0
3961,be utilized,be created,items be utilized all the time,items be created all the time,No,1.0
3962,be prevent,be prescribed for,The medicine be prevent withdrawal symptoms,The medicine be prescribed for withdrawal symptoms,No,1.0
3963,be a sequence of,have the same number of,The entire program be a sequence of steps,The entire program have the same number of steps,No,1.0
3964,learn from,share,Tutors learn from each session,Tutors share each session,No,1.0
3965,charge,grant,the commodore 64 charge necessary monitors,the commodore 64 grant necessary monitors,No,1.0
3966,be the best known of,be the biggest of,Histamine be the best known of these chemicals,Histamine be the biggest of these chemicals,No,1.0
3967,resubmit,be requested to submit,Bush resubmit the nomination,Bush be requested to submit the nomination,No,1.0
3968,explore,hide,This lecture explore the steps,This lecture hide the steps,No,1.0
3969,lie to,be bounded to,Jacob lie to his blind father,Jacob be bounded to his blind father,No,1.0
3970,get to do,decide to do,my sister get to do the chores,my sister decide to do the chores,No,1.0
3971,be open for,be popular for,The lounge be open for lunch and dinner,The lounge be popular for lunch and dinner,No,1.0
3972,compete at,place second in,Team compete at Provincial,Team place second in Provincial,No,1.0
3973,do nothing at,matter at,Peter do nothing at the moment,Peter matter at the moment,No,1.0
3974,be found outside of,be difficult to find in,salvation be found outside of the church,salvation be difficult to find in the church,No,1.0
3975,be the best option for,be a popular option for,the seed be the best option for planting,the seed be a popular option for planting,No,1.0
3976,post an article on,have ad on,Jeremiah Grossman post an article on his blog,Jeremiah Grossman have ad on his blog,No,1.0
3977,keep follow,make a left onto,The cameraman keep follow the action,The cameraman make a left onto the action,No,1.0
3978,be encountered in,be solved in,an error be encountered in the document,an error be solved in the document,No,1.0
3979,owe to,pay to,Americans owe to these soldiers,Americans pay to these soldiers,No,1.0
3980,encounter,overcome,The Romans encounter the Germanic tribes,The Romans overcome the Germanic tribes,No,1.0
3981,sleep at,fall at,him sleep at night,him fall at night,No,1.0
3982,coast on,want to ruin,The US coast on its national debt,The US want to ruin its national debt,No,1.0
3983,sign all of,sell some of,The United States sign all of these treaties,The United States sell some of these treaties,No,1.0
3984,include this in,make an error in,my boss include this in my profile,my boss make an error in my profile,No,1.0
3985,be new to,be the place for@R@,individuals be new to Linux,Linux be the place for individuals,No,1.0
3986,participate in,complete,students participate in a practicum,students complete a practicum,No,1.0
3987,lobby,provide technical assistance to,a student group lobby the University,a student group provide technical assistance to the University,No,1.0
3988,engage in,be guilty of,Others engage in applied research,Others be guilty of applied research,No,1.0
3989,be interested in learn about,have little knowledge of,journalists be interested in learn about Japan,journalists have little knowledge of Japan,No,1.0
3990,acquire one of,purchase many of,Disney acquire one of its competitors,Disney purchase many of its competitors,No,1.0
3991,absorb,give off,the meat absorb the smoke,the meat give off the smoke,No,1.0
3992,stay in,return to,The hand stay in her mouth,The hand return to her mouth,No,1.0
3993,be crazy with,cry tear of,Their faces be crazy with devotion,Their faces cry tear of devotion,No,1.0
3994,make prediction about,meet the challenge of,Users make prediction about the future,Users meet the challenge of the future,No,1.0
3995,study,earn a degree in,the students study English,the students earn a degree in English,No,1.0
3996,pay better than,be tougher than,big companies pay better than small ones,big companies be tougher than small ones,No,1.0
3997,punch,walk to,Josiah punch him,Josiah walk to him,No,1.0
3998,forget,mention,Ill forget the screams,Ill mention the screams,No,1.0
3999,plop in,leap from,Crystal plop in her chair,Crystal leap from her chair,No,1.0
4000,contain,be loaded with,the book contain footnotes,the book be loaded with footnotes,No,1.0
4001,lay,hold up,the goose lay the golden egg,the goose hold up the golden egg,No,1.0
4002,be the younger brother of,be a cousin of,Dulles be the younger brother of John Foster Dulles,Dulles be a cousin of John Foster Dulles,No,1.0
4003,abandon,return to,the parties abandon the transaction,the parties return to the transaction,No,1.0
4004,be filled with,be free from,his eyes be filled with tears,his eyes be free from tears,No,1.0
4005,search for,hear about,many people search for a physician,many people hear about a physician,No,1.0
4006,be taken in,be the hotel in,This picture be taken in Sierra Leone,This picture be the hotel in Sierra Leone,No,1.0
4007,surprise,offend,These activities surprise no one,These activities offend no one,No,1.0
4008,reconcile,make sense of,Christ reconcile sinners,Christ make sense of sinners,No,1.0
4009,deny the reality of,understand the true nature of,the media deny the reality of child abuse,the media understand the true nature of child abuse,No,1.0
4010,go on,leave,the band go on tour,the band leave tour,No,1.0
4011,be used for,be ideal for,language be used for communication,language be ideal for communication,No,1.0
4012,learn from,disagree with,Tutors learn from each session,Tutors disagree with each session,No,1.0
4013,be good for,be perfect for,TV be good for kids,TV be perfect for kids,No,1.0
4014,avoid,prevent,moms avoid the disease,moms prevent the disease,No,1.0
4015,finish,abandon,your partner finish treatment,your partner abandon treatment,No,1.0
4016,pose with,play with,some kids pose with him,some kids play with him,No,1.0
4017,do something about,make sense for@R@,Obama do something about health care costs,health care costs make sense for Obama,No,1.0
4018,wade in,plunge into,these two wade in the water,these two plunge into the water,No,1.0
4019,be happy with,be disappointed in,Truman be happy with his life,Truman be disappointed in his life,No,1.0
4020,envision,search for,The Bush administration envision the accord,The Bush administration search for the accord,No,1.0
4021,be seen in,be similar to,The full list of emoticons be seen in the posting form,The full list of emoticons be similar to the posting form,No,1.0
4022,be useful for,be aimed at,This presentation be useful for the beginning of a composition course,This presentation be aimed at the beginning of a composition course,No,1.0
4023,have problem with,experiment with,her husband have problem with the marriage,her husband experiment with the marriage,No,1.0
4024,attend,be a 1998 graduate of,The family attend the Unitarian church,The family be a 1998 graduate of the Unitarian church,No,1.0
4025,have one set of,have a new set of,Mexico have one set of rules,Mexico have a new set of rules,No,1.0
4026,thank,sound like,Charisse thank him,Charisse sound like him,No,1.0
4027,reflect,advertise,a program reflect your interests and needs,a program advertise your interests and needs,No,1.0
4028,thank,ask,Beth thank brian,Beth ask brian,No,1.0
4029,hope to show,begin ask,the authors hope to show social scientists,the authors begin ask social scientists,No,1.0
4030,agree to notify,register with,Owner agree to notify Marina,Owner register with Marina,No,1.0
4031,arrive in,be delivered in,Our guests arrive in style,Our guests be delivered in style,No,1.0
4032,break with,become leader of,our forefathers break with Britain,our forefathers become leader of Britain,No,1.0
4033,ignore,determine,Most people ignore this commandment,Most people determine this commandment,No,1.0
4034,reflect,restrict,a program reflect your interests and needs,a program restrict your interests and needs,No,1.0
4035,park in,pull up to,cars park in the road,cars pull up to the road,No,1.0
4036,be active in,be elected fellow of,owners be active in the business,owners be elected fellow of the business,No,1.0
4037,be to bring,be to take,The idea be to bring information,The idea be to take information,No,1.0
4038,lay my hand on,put she hand on,him lay my hand on his back,him put she hand on his back,No,1.0
4039,fall in,be unlucky in,Siegfried fall in love,Siegfried be unlucky in love,No,1.0
4040,pick up one of,have 3 of,the press pick up one of its stories,the press have 3 of its stories,No,1.0
4041,nourish,calm,your body nourish your baby,your body calm your baby,No,1.0
4042,be dogged by,provoke,his brother be dogged by injury,his brother provoke injury,No,1.0
4043,win,carry,their cards win the pot,their cards carry the pot,No,1.0
4044,be accused of,be found guilty of,Paul be accused of many things,Paul be found guilty of many things,No,1.0
4045,help out,raise money for,the military help out the family,the military raise money for the family,No,1.0
4046,decide to carry,unload,the Minister decide to carry the story,the Minister unload the story,No,1.0
4047,be encouraged to submit,be selected based on,Fans be encouraged to submit photos of themselves,Fans be selected based on photos of themselves,No,1.0
4048,be easy to find,be tough to find,the studies be easy to find online,the studies be tough to find online,No,1.0
4049,elaborate on,try to understand,The International Committee of the Red Cross elaborate on the Geneva Conventions,The International Committee of the Red Cross try to understand the Geneva Conventions,No,1.0
4050,enter into,have nothing to do with,This research enter into your decision,This research have nothing to do with your decision,No,1.0
4051,explain,attach,This document explain our privacy policy,This document attach our privacy policy,No,1.0
4052,give to,speak to,donors give to candidates,donors speak to candidates,No,1.0
4053,download,preview,PDF forms download the free Acrobat Reader,PDF forms preview the free Acrobat Reader,No,1.0
4054,cooperate with,compete against,The parties cooperate with JAMS,The parties compete against JAMS,No,1.0
4055,be a small amount of,be the minimum amount of,A cookie be a small amount of data,A cookie be the minimum amount of data,No,1.0
4056,be open from,be open until,The museum be open from March,The museum be open until March,No,1.0
4057,be sure of,be a diplomate of,the doctors be sure of the cause,the doctors be a diplomate of the cause,No,1.0
4058,pay for,check,their families pay for educational expenses,their families check educational expenses,No,1.0
4059,fail to file,move to dismiss,The claimant fail to file a motion,The claimant move to dismiss a motion,No,1.0
4060,help take care of,read to,Thomas help take care of the babies,Thomas read to the babies,No,1.0
4061,select,add,Students select a setting,Students add a setting,No,1.0
4062,want to do something about,want to get rid of,The organization want to do something about MS,The organization want to get rid of MS,No,1.0
4063,bother,qualify,the feelings of apprehension bother him,the feelings of apprehension qualify him,No,1.0
4064,have the time for,have no time for,him have the time for him,him have no time for him,No,1.0
4065,count,witness,my father count the days,my father witness the days,No,1.0
4066,have peace with,do the work of,the believer have peace with God,the believer do the work of God,No,1.0
4067,think a lot about,believe in,Ive think a lot about this post,Ive believe in this post,No,1.0
4068,be the presence of,be the formation of,a support group be the presence of others,a support group be the formation of others,No,1.0
4069,spend time with,enjoy work with,Elizabeth spend time with her husband,Elizabeth enjoy work with her husband,No,1.0
4070,stop at,head for,Blake stop at a door,Blake head for a door,No,1.0
4071,make some for,babysit for,friends make some for him,friends babysit for him,No,1.0
4072,study,major in,the students study English,the students major in English,No,1.0
4073,be the polar opposite of,be a critique of,Torture be the polar opposite of freedom,Torture be a critique of freedom,No,1.0
4074,ship,list,Orders ship the next business day,Orders list the next business day,No,1.0
4075,determine,secure,The jury determine punishment,The jury secure punishment,No,1.0
4076,spend about,sleep about,Visitors spend about two hours,Visitors sleep about two hours,No,1.0
4077,say to,give to,David say to his mother,David give to his mother,No,1.0
4078,cook,crave,The lady cook breakfast and lunch,The lady crave breakfast and lunch,No,1.0
4079,be lit at,be cold at,lanterns be lit at night,lanterns be cold at night,No,1.0
4080,add to,reveal to,the Lord add to the church,the Lord reveal to the church,No,1.0
4081,stare in,smile in,the husband stare in disbelief,the husband smile in disbelief,No,1.0
4082,do this on,write this on,the consumer do this on their own,the consumer write this on their own,No,1.0
4083,put their faith in,lose confidence in,his disciples put their faith in him,his disciples lose confidence in him,No,1.0
4084,drive,get out of,Kenseth drive the car,Kenseth get out of the car,No,1.0
4085,recommend for,use,This apartment recommend for 5 adults,This apartment use 5 adults,No,1.0
4086,fight for,lose,Gordon fight for jobs,Gordon lose jobs,No,1.0
4087,agree with,explain to,not one agree with him,not one explain to him,No,1.0
4088,be introduced into,remain in,HIV be introduced into the gay population,HIV remain in the gay population,No,1.0
4089,blogg about,rant about,some doctors blogg about their patients,some doctors rant about their patients,No,1.0
4090,smile,wave,his wife smile more,his wife wave more,No,1.0
4091,allow for,translate into,The RFP allow for bidders,The RFP translate into bidders,No,1.0
4092,coast on,capitalize on,The US coast on its national debt,The US capitalize on its national debt,No,1.0
4093,care about,be good to,This man care about the whole world,This man be good to the whole world,No,1.0
4094,approach,reach,Safety and Security Minister Nathi Mthethwa approach President Kgalema Motlanthe,Safety and Security Minister Nathi Mthethwa reach President Kgalema Motlanthe,No,1.0
4095,have a great influence on,have the biggest impact on,Parents have a great influence on the career development of their children,Parents have the biggest impact on the career development of their children,No,1.0
4096,constitute,be guilty of,this article constitute legal advice,this article be guilty of legal advice,No,1.0
4097,convert,compress,Hydropower convert the energy,Hydropower compress the energy,No,1.0
4098,build,rebuild,a settler build his cabin,a settler rebuild his cabin,No,1.0
4099,drop to,drop below,the prices drop to a reasonable price,the prices drop below a reasonable price,No,1.0
4100,go about,abandon,Jesus go about all Galilee,Jesus abandon all Galilee,No,1.0
4101,look over at,walk over to,Lisa look over at Brad,Lisa walk over to Brad,No,1.0
4102,witness,be a victim of,A police officer witness the incident,A police officer be a victim of the incident,No,1.0
4103,have peace with,do good to,the believer have peace with God,the believer do good to God,No,1.0
4104,move up,fall down,The effects move up the food chain,The effects fall down the food chain,no,1.0
4105,be advised to review,abide by,Members be advised to review the rules,Members abide by the rules,No,1.0
4106,expect,give birth to,dont expect a whole lot,dont give birth to a whole lot,No,1.0
4107,occur in,be rare in,Cloning occur in nature,Cloning be rare in nature,No,1.0
4108,shake she head in,look on in,Elizabeth shake she head in denial,Elizabeth look on in denial,No,1.0
4109,sign,issue,Johnson sign the Voting Rights Act,Johnson issue the Voting Rights Act,No,1.0
4110,drop off,unpack,residents drop off recyclable materials,residents unpack recyclable materials,No,1.0
4111,be compensated by,be independent from,Bush be compensated by Dubai,Bush be independent from Dubai,No,1.0
4112,be grateful to,hear from,the United States be grateful to Germany,the United States hear from Germany,No,1.0
4113,be popular on,be rare on,Backpacks be popular on the tour,Backpacks be rare on the tour,No,1.0
4114,be all for,be right about,my fears be all for naught,my fears be right about naught,No,1.0
4115,soften with,melt with,Fabric soften with washing,Fabric melt with washing,No,1.0
4116,be used by,be great for,formats be used by other systems,formats be great for other systems,No,1.0
4117,surprise,offend,this team surprise some folks,this team offend some folks,No,1.0
4118,speak,write in,him speak those words,him write in those words,No,1.0
4119,be an avid user of,have an older version of,Sherlock Holmes be an avid user of opium,Sherlock Holmes have an older version of opium,No,1.0
4120,contain the title of,be a copy of,The first page contain the title of the paper,The first page be a copy of the paper,No,1.0
4121,dont have,have access to,those manufacturers dont have the same development costs,those manufacturers have access to the same development costs,No,1.0
4122,sentence,side with,Her father sentence him,Her father side with him,No,1.0
4123,avoid do,decide to do,these writers avoid do events,these writers decide to do events,No,1.0
4124,do nothing at,know nothing at,Peter do nothing at the moment,Peter know nothing at the moment,No,1.0
4125,touch,tug at,Vadim touch his head,Vadim tug at his head,No,1.0
4126,graph,learn to solve,Students graph their data,Students learn to solve their data,No,1.0
4127,come up to,sit next to,the heathen come up to the valley of Jehoshaphat,the heathen sit next to the valley of Jehoshaphat,No,1.0
4128,be no fan of,be correct about,Hamilton be no fan of the suggestion,Hamilton be correct about the suggestion,No,1.0
4129,win,win a number of,every contestant win a prize,every contestant win a number of a prize,No,1.0
4130,want to work from,have gun in,my students want to work from photos,my students have gun in photos,No,1.0
4131,be used in,be most used in,herbs be used in combination,herbs be most used in combination,No,1.0
4132,be the part of,be an essential part of,The small intestine be the part of the digestive system,The small intestine be an essential part of the digestive system,No,1.0
4133,be possible in,be important in,This kind of thing be possible in the past,This kind of thing be important in the past,No,1.0
4134,long to see,be everything to@R@,Yang long to see Lau,Lau be everything to Yang,No,1.0
4135,be to serve,be ready to serve,mankind be to serve God,mankind be ready to serve God,No,1.0
4136,soften with,deteriorate with,Fabric soften with washing,Fabric deteriorate with washing,No,1.0
4137,plan to keep,promise to keep,The new owners plan to keep the name,The new owners promise to keep the name,No,1.0
4138,have full knowledge of,be bound by,Allah have full knowledge of all things,Allah be bound by all things,No,1.0
4139,have several problem with,misconstrue,Consumer have several problem with transmission,Consumer misconstrue transmission,No,1.0
4140,cook on,be served on,guests cook on their own,guests be served on their own,No,1.0
4141,hire,recommend,Small businesses hire more,Small businesses recommend more,No,1.0
4142,major in,hold a bachelors degree in,students major in elementary education,students hold a bachelors degree in elementary education,No,1.0
4143,prepare,dig,Participants prepare food,Participants dig food,No,1.0
4144,be a graduate of,be a sophomore at,Jeff be a graduate of the University of Michigan,Jeff be a sophomore at the University of Michigan,No,1.0
4145,be published in,publish an article in,This book be published in the UK.,This book publish an article in the UK.,No,1.0
4146,be gonna,want to,somebody be gonna die,somebody want to die,No,1.0
4147,get a bit of,receive a fair amount of,those workers get a bit of training,those workers receive a fair amount of training,No,1.0
4148,be brought back to,be forced to return to,his body be brought back to Florence,his body be forced to return to Florence,No,1.0
4149,compete with,be listed above,Alaska compete with Ohio,Alaska be listed above Ohio,No,1.0
4150,be aware of,be unaware of,humans be aware of medicinal plants,humans be unaware of medicinal plants,No,1.0
4151,remain until,come at,Samuel remain until his death,Samuel come at his death,No,1.0
4152,be kind to,want to help,Jock be kind to him,Jock want to help him,No,1.0
4153,be happy to be,look to be,God be happy to be that way,God look to be that way,No,1.0
4154,return from,fly to,Lenin return from Switzerland,Lenin fly to Switzerland,No,1.0
4155,start on,end,benefits start on the first of the month,benefits end the first of the month,No,1.0
4156,manage,connect,The VA manage hospitals,The VA connect hospitals,No,1.0
4157,be involved in,play an important role in,Only a minority be involved in violence,Only a minority play an important role in violence,No,1.0
4158,be displayed as,be marked with,Search results be displayed as a list,Search results be marked with a list,No,1.0
4159,need to return to,be unable to return to,Students need to return to their lockers,Students be unable to return to their lockers,No,1.0
4160,be dedicated by,be customized by,The ietf be dedicated by the internet architecture board,The ietf be customized by the internet architecture board,No,1.0
4161,create a conflict of,be resolved without,an event create a conflict of interest,an event be resolved without interest,No,1.0
4162,work ok for,be offline for,the program work ok for a while,the program be offline for a while,No,1.0
4163,know about,be like,Jones know about Maine,Jones be like Maine,No,1.0
4164,study,be a professor of,The Department of Health study the report,The Department of Health be a professor of the report,No,1.0
4165,have several version of,be interested in review,Offices have several version of Word,Offices be interested in review Word,No,1.0
4166,do to,care about,your governments do to your children,your governments care about your children,No,1.0
4167,answer,be happy to answer,the Lord answer him,the Lord be happy to answer him,No,1.0
4168,be a work in,make a lot of,This website be a work in progress,This website make a lot of progress,No,1.0
4169,have a history of,be more likely to have,America have a history of immigration,America be more likely to have immigration,No,1.0
