rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
arrive at	head for	Delegates arrive at the venue	Delegates head for the venue	Yes	1
have a problem with	dont like	the two groups have a problem with each other	the two groups dont like each other	Yes	1
rely on	be dependant on	Judges rely on the information	Judges be dependant on the information	Yes	1
appreciate	welcome	Customers appreciate the suggestion	Customers welcome the suggestion	Yes	1
obey	submit to	Joseph obey the angel	Joseph submit to the angel	Yes	1
cite	note in	The bibliography cite 3 sources	The bibliography note in 3 sources	Yes	1
choose	decide on	The host choose the movie	The host decide on the movie	Yes	1
get through to	go through to	your post get through to the list	your post go through to the list	Yes	1
be important to	be great for	open source be important to their business	open source be great for their business	Yes	1
be the source of	be a part of	God be the source of perfect love	God be a part of perfect love	Yes	1
be optimal for	be most appropriate for	a newspaper be optimal for advertising	a newspaper be most appropriate for advertising	Yes	1
be made in	be to be made in	arrangements be made in advance	arrangements be to be made in advance	Yes	1
engage in	take part in	Others engage in applied research	Others take part in applied research	Yes	1
want to reconsider	need to reevaluate	Council want to reconsider this initiative	Council need to reevaluate this initiative	Yes	1
possess	be believed to have	Applicants possess basic computer skills	Applicants be believed to have basic computer skills	Yes	1
be up on	get on	The story be up on the website	The story get on the website	Yes	1
engage in	be engaged in	Employers engage in monitoring	Employers be engaged in monitoring	Yes	1
be called	be considered	God be called Yahweh	God be considered Yahweh	Yes	1
respond to	reply to	The seller respond to the amount of money	The seller reply to the amount of money	Yes	1
blogg on	have a blog on	A few of us blogg on our experiences	A few of us have a blog on our experiences	Yes	1
be reputed to be	be noted as	Confucius be reputed to be the first	Confucius be noted as the first	Yes	1
turn into	end in	Saturday night turn into Sunday morning	Saturday night end in Sunday morning	Yes	1
like to purchase	be interested in obtain	Consumers like to purchase a pair	Consumers be interested in obtain a pair	Yes	1
defeat	beat	Richard defeat Marcus	Richard beat Marcus	Yes	1
be born in	be a native of	Jackie be born in Chicago	Jackie be a native of Chicago	Yes	1
ask to see	want to see	his relatives ask to see him	his relatives want to see him	Yes	1
create the condition for	have the potential for	capitalism create the condition for its own downfall	capitalism have the potential for its own downfall	Yes	1
consist of	be a group of	The target group consist of volunteers	The target group be a group of volunteers	Yes	1
invade	advance into	Iraq invade Iran	Iraq advance into Iran	Yes	1
build	erect	a settler build his cabin	a settler erect his cabin	Yes	1
be aware of	recognize	humans be aware of medicinal plants	humans recognize medicinal plants	Yes	1
flee from	retreat from	Jewish refugees flee from Nazi Germany	Jewish refugees retreat from Nazi Germany	Yes	1
span more than	last	a career span more than 20 years	a career last 20 years	Yes	1
update	change	the search engines update their information	the search engines change their information	Yes	1
be prepared for	be readied for	Retailers be prepared for a downturn	Retailers be readied for a downturn	Yes	1
care for	provide care for	families and friends care for older people	families and friends provide care for older people	Yes	1
come from	be from	the Truth come from a book	the Truth be from a book	Yes	1
conduct	be involved in	the Corporation conduct any activities	the Corporation be involved in any activities	Yes	1
start to feel like	begin to feel like	my legs start to feel like lead	my legs begin to feel like lead	Yes	1
come via	come in by	Updates come via email	Updates come in by email	Yes	1
set	control	Each bank set its own Prime Rate	Each bank control its own Prime Rate	Yes	1
place on	put on	signs place on telephone poles	signs put on telephone poles	Yes	1
portray	appear as	the comparable properties portray the subject property	the comparable properties appear as the subject property	Yes	1
prove to be	be proved to be	the programme prove to be a great success	the programme be proved to be a great success	Yes	1
be aware of	notice	Parents be aware of developmental milestones	Parents notice developmental milestones	Yes	1
be necessary for	play an important role in	Both nutrients be necessary for plant growth	Both nutrients play an important role in plant growth	Yes	1
be interested in develop	want to establish	Students be interested in develop significant computer skills	Students want to establish significant computer skills	Yes	1
move in to	start live in	Families move in to a house	Families start live in a house	Yes	1
call my attention to	draw my attention to	A reader call my attention to a statement	A reader draw my attention to a statement	Yes	1
be given	be administered	each of us be given a special gift	each of us be administered a special gift	Yes	1
come from	seem to come from	the colors come from the sunlight	the colors seem to come from the sunlight	Yes	1
be available to	be offered for	Grants be available to states	Grants be offered for states	Yes	1
be willing to have	want have	no one be willing to have babies	no one want have babies	Yes	1
be reported to	be presented to	this change be reported to immigration	this change be presented to immigration	Yes	1
come from	be raised in	The Messiah come from the tribe of Judah	The Messiah be raised in the tribe of Judah	Yes	1
take up	pick up	the worldwide one take up the slack	the worldwide one pick up the slack	Yes	1
engage in	be into	Others engage in applied research	Others be into applied research	Yes	1
continue in	be ongoing in	Violence continue in Gaza	Violence be ongoing in Gaza	Yes	1
lay down on	get down on	Steve lay down on the floor	Steve get down on the floor	Yes	1
be based on	be determined by	The recommendation be based on findings	The recommendation be determined by findings	Yes	1
take effect in	become effective in	the law take effect in March	the law become effective in March	Yes	1
fit in with	mesh with	The logo fit in with the designs	The logo mesh with the designs	Yes	1
vary with	vary on	The menu vary with the availability of ingredients	The menu vary on the availability of ingredients	Yes	1
launch	introduce	Cole launch his business	Cole introduce his business	Yes	1
be an excerpt from	be an excerpt of	Table 1 be an excerpt from that report	Table 1 be an excerpt of that report	Yes	1
be likely to be	be thought to be	The background music be likely to be jazz	The background music be thought to be jazz	Yes	1
want to give	want to show	a lot of people want to give their ideas	a lot of people want to show their ideas	Yes	1
prefer	be a fan of	elephants prefer peanuts	elephants be a fan of peanuts	Yes	1
win	end up win	every contestant win a prize	every contestant end up win a prize	Yes	1
plant	grow	The women plant corn	The women grow corn	Yes	1
want to hire	think about hire	A CEO want to hire the best	A CEO think about hire the best	Yes	1
mean make	be required to make	web hosting mean make web sites	web hosting be required to make web sites	Yes	1
occur in	be present in	the child element occur in the parent	the child element be present in the parent	Yes	1
get one hell of	have a heck of	the States get one hell of a new President	the States have a heck of a new President	Yes	1
go on in	come out of	strange things go on in America	strange things come out of America	Yes	1
be a measure of	measure	the temperature be a measure of the average kinetic energy	the temperature measure the average kinetic energy	Yes	1
turn into	give way to	Saturday night turn into Sunday morning	Saturday night give way to Sunday morning	Yes	1
be available to	be accessible to	Our services be available to museums	Our services be accessible to museums	Yes	1
be performed in	be run in	This operation be performed in the United States	This operation be run in the United States	Yes	1
be interested in learn more about	be interested in find out more about	students be interested in learn more about information technology	students be interested in find out more about information technology	Yes	1
have thousand of	have ton of	These list have thousand of names	These list have ton of names	Yes	1
rise to	soar to	UCLA rise to No. 2	UCLA soar to No. 2	Yes	1
be the son of	be the child of	Charles be the son of the founder	Charles be the child of the founder	Yes	1
exist in	appear in	Afrikaans exist in South Africa	Afrikaans appear in South Africa	Yes	1
come in	be come in	no customers come in the store	no customers be come in the store	Yes	1
hate	dont like	others hate Wal-Mart	others dont like Wal-Mart	Yes	1
die of	pass due to	A dog die of health problems	A dog pass due to health problems	Yes	1
be present on	appear on	the expressions be present on their faces	the expressions appear on their faces	Yes	1
consult	seek the advice of	Many people consult professionals	Many people seek the advice of professionals	Yes	1
be the place to find	be the site for	Our site be the place to find real estate	Our site be the site for real estate	Yes	1
be all about	be a matter of	Weight management be all about energy balance	Weight management be a matter of energy balance	Yes	1
build	erect	companies build Web sites	companies erect Web sites	Yes	1
spend the day in	spend a day in	The men spend the day in fellowship	The men spend a day in fellowship	Yes	1
pick	recognize	Fans pick their favorite drivers	Fans recognize their favorite drivers	Yes	1
consist of	be comprised of	The first part consist of problems	The first part be comprised of problems	Yes	1
be subjected to	be affected by	Israel be subjected to the Roman empire	Israel be affected by the Roman empire	Yes	1
give to	provide for	donors give to candidates	donors provide for candidates	Yes	1
prefer	do like	Shrubs prefer full sun	Shrubs do like full sun	Yes	1
be a measure of	be defined as	Mortality rate be a measure of the number of deaths	Mortality rate be defined as the number of deaths	Yes	1
turn off	deactivate	Your parent turn off comments	Your parent deactivate comments	Yes	1
be required at	be required for	Retirement be required at the same time	Retirement be required for the same time	Yes	1
protect	help protect	password protect zip files	password help protect zip files	Yes	1
participate in	assist in	small businesses participate in the rulemaking process	small businesses assist in the rulemaking process	Yes	1
be based on	be driven by	Our service be based on information	Our service be driven by information	Yes	1
be awarded to	be awarded with@R@	a certificate be awarded to the winner	the winner be awarded with a certificate	Yes	1
produce	manufacture	Men produce testosterone	Men manufacture testosterone	Yes	1
learn about	be taught	Smith learn about the trust	Smith be taught the trust	Yes	1
take an interest in	care about	The locals take an interest in the game	The locals care about the game	Yes	1
be treat	be treat the symptom of	Viagra be treat impotence	Viagra be treat the symptom of impotence	Yes	1
come from	be taken from	the Truth come from a book	the Truth be taken from a book	Yes	1
be all about	be focused on	this post be all about the differences	this post be focused on the differences	Yes	1
describe	provide information about	The paper describe the system	The paper provide information about the system	Yes	1
live up to	measure up to	your kids live up to your expectation	your kids measure up to your expectation	Yes	1
be the cause of	be the root cause of	Paris be the cause of the Trojan War	Paris be the root cause of the Trojan War	Yes	1
get to know	learn about	Students get to know their communities	Students learn about their communities	Yes	1
increase the cost of	affect the price of	Regulations increase the cost of building	Regulations affect the price of building	Yes	1
act as	be believed to be	the blood act as a poison	the blood be believed to be a poison	Yes	1
build	form	a settler build his cabin	a settler form his cabin	Yes	1
introduce	debut	Google introduce Video search	Google debut Video search	Yes	1
have a number of	have of	the park have a number of different areas	the park have of different areas	Yes	1
depend on	be best for@R@	Our business depend on your satisfaction	your satisfaction be best for Our business	Yes	1
be glad to be in	be excited to be in	Katie be glad to be in her hometown	Katie be excited to be in her hometown	Yes	1
prefer	opt for	elephants prefer peanuts	elephants opt for peanuts	Yes	1
grow in	rise in	online casinos grow in popularity	online casinos rise in popularity	Yes	1
be the kind of	be the sort of	Trolling be the kind of fishing	Trolling be the sort of fishing	Yes	1
be new to	be new to@R@	student be new to computers	computers be new to student	Yes	1
be educated at	enrol at	The boy be educated at a high school	The boy enrol at a high school	Yes	1
have thousand of	have a collection of	Some men have thousand of reasons	Some men have a collection of reasons	Yes	1
go about	go around	Jesus go about all Galilee	Jesus go around all Galilee	Yes	1
be last modified on	be dated	This page be last modified on 17 February 2008	This page be dated 17 February 2008	Yes	1
be last modified on	be current as of	This page be last modified on 26 December 2008	This page be current as of 26 December 2008	Yes	1
stand for	be an abbreviation for	URL stand for Uniform Resource Locator	URL be an abbreviation for Uniform Resource Locator	Yes	1
be performed in	be carried out in	Cardiac catheterization be performed in hospitals	Cardiac catheterization be carried out in hospitals	Yes	1
have a beneficial effect on	help stimulate	viruses have a beneficial effect on health	viruses help stimulate health	Yes	1
seek	pursue	His company seek approval	His company pursue approval	Yes	1
eat	swallow	the big fish eat the little fish	the big fish swallow the little fish	Yes	1
describe	present an overview of	One of the authors describe the book	One of the authors present an overview of the book	Yes	1
have the feeling of	get the feeling of	youll have the feeling of satisfaction	youll get the feeling of satisfaction	Yes	1
be prevent	be shown to prevent	The medicine be prevent withdrawal symptoms	The medicine be shown to prevent withdrawal symptoms	Yes	1
study	research	a marine biologist study sharks	a marine biologist research sharks	Yes	1
be most valuable to	be helpful to	skills be most valuable to any employer	skills be helpful to any employer	Yes	1
be available in	be available for view in	Forms be available in PDF format	Forms be available for view in PDF format	Yes	1
read like	sound like	this true story read like fiction	this true story sound like fiction	Yes	1
kill	murder	the Jews kill him	the Jews murder him	Yes	1
be transport	help move	the railways be transport materials	the railways help move materials	Yes	1
be satisfying to	give pleasure to	artistic , sensitive , or spiritually inclined people be satisfying to him	artistic , sensitive , or spiritually inclined people give pleasure to him	Yes	1
be posted on	be published on	This recipe be posted on my website	This recipe be published on my website	Yes	1
provide something for	be sure to delight	the menu provide something for all tastes	the menu be sure to delight all tastes	Yes	1
increase	help increase	The law increase license fees	The law help increase license fees	Yes	1
be the result of	stem from	Character be the result of two things	Character stem from two things	Yes	1
be an evening of	be a good night for	The Gala be an evening of celebration	The Gala be a good night for celebration	Yes	1
campaign for	advocate	Civilians campaign for office	Civilians advocate office	Yes	1
be aware of	acknowledge	humans be aware of medicinal plants	humans acknowledge medicinal plants	Yes	1
be delivered to	be taken to	The report be delivered to the secretary	The report be taken to the secretary	Yes	1
use a range of	use a wide variety of	this proposal use a range of methods	this proposal use a wide variety of methods	Yes	1
offer help with	offer guidance on	This site offer help with a variety of subjects	This site offer guidance on a variety of subjects	Yes	1
appear as	play the part of	these statements appear as an argument	these statements play the part of an argument	Yes	1
be provided as	be included as	MATERIALS be provided as IS	MATERIALS be included as IS	Yes	1
get a lot of	get ton of	Stu get a lot of things	Stu get ton of things	Yes	1
be concerned about	worry about	many companies be concerned about cash flow	many companies worry about cash flow	Yes	1
take a lot of	require lot of	pictures take a lot of work	pictures require lot of work	Yes	1
feature	include	The kitchen feature many cabinets	The kitchen include many cabinets	Yes	1
be divided into	be composed of	The thesis be divided into three parts	The thesis be composed of three parts	Yes	1
be risky for	be painful for	secured loans be risky for lenders	secured loans be painful for lenders	Yes	1
take an interest in	show interest in	Bateson take an interest in Bandler and Grinder	Bateson show interest in Bandler and Grinder	Yes	1
expect	wait for	dont expect a whole lot	dont wait for a whole lot	Yes	1
notice	witness	one of the other workers notice him	one of the other workers witness him	Yes	1
be the centre of	be the center of	the earth be the centre of the universe	the earth be the center of the universe	Yes	1
travel to	set out for	the team travel to Iowa City	the team set out for Iowa City	Yes	1
engage in	commence	Others engage in applied research	Others commence applied research	Yes	1
play a leading role in	play a role in	UNESCO play a leading role in adult education	UNESCO play a role in adult education	Yes	1
start use	start to use	CNN start use Twitter	CNN start to use Twitter	Yes	1
help out	be willing to help	the military help out the family	the military be willing to help the family	Yes	1
do a lot of	do plenty of	spammers do a lot of spoofing	spammers do plenty of spoofing	Yes	1
occur in	be found in	this type of malfunction occur in the future	this type of malfunction be found in the future	Yes	1
be entitled to	be afforded	The landlord be entitled to possession of the rental unit	The landlord be afforded possession of the rental unit	Yes	1
crave in	want most in	many people crave in their church	many people want most in their church	Yes	1
consist of	feature	This group consist of women	This group feature women	Yes	1
be a result of	be related to	almost all cases be a result of exposure	almost all cases be related to exposure	Yes	1
kick off in	be to begin in	The program kick off in July 2003	The program be to begin in July 2003	Yes	1
join with	collaborate with	All our family join with him	All our family collaborate with him	Yes	1
rely on	count on	Any person or entity rely on any information	Any person or entity count on any information	Yes	1
irk	enrage	the move irk shareholders	the move enrage shareholders	Yes	1
collect	accumulate	Students collect clues	Students accumulate clues	Yes	1
have all type of	have a full range of	The site have all type of gifts	The site have a full range of gifts	Yes	1
be by	be available by	feedback be by email	feedback be available by email	Yes	1
be hired for	be valued for	The hotel be hired for exclusive use	The hotel be valued for exclusive use	Yes	1
be the cause of	be due to@R@	the islands be the cause of many shipwrecks	many shipwrecks be due to the islands	Yes	1
review	look into	the planning board review the application	the planning board look into the application	Yes	1
be at increased risk of	be more prone to	women be at increased risk of breast cancer	women be more prone to breast cancer	Yes	1
be included in	be included with	Fruit be included in a balanced diet	Fruit be included with a balanced diet	Yes	1
care for	take good care of	families and friends care for older people	families and friends take good care of older people	Yes	1
be released as	be delivered as	The soundtrack be released as an album	The soundtrack be delivered as an album	Yes	1
consist of	make up of	Native vegetation consist of western wheatgrass	Native vegetation make up of western wheatgrass	Yes	1
have a number of	provide	the park have a number of different areas	the park provide different areas	Yes	1
be modeled on	be modeled after	The play be modeled on historical events	The play be modeled after historical events	Yes	1
play a leading role in	lead the way in	UNESCO play a leading role in adult education	UNESCO lead the way in adult education	Yes	1
be drawn to	be called to	this number be drawn to our attention	this number be called to our attention	Yes	1
contain link to	list link to	Web Site contain link to other Web Sites	Web Site list link to other Web Sites	Yes	1
be aware of	recognize	The Library be aware of the situation	The Library recognize the situation	Yes	1
arrange	facilitate	My parents arrange a marriage	My parents facilitate a marriage	Yes	1
end up on	be left on	Bulgaria end up on the losing side	Bulgaria be left on the losing side	Yes	1
continue to give	continue give	the United States continue to give foreign aid	the United States continue give foreign aid	Yes	1
be the second of	be the 2nd of	The loss be the second of the season	The loss be the 2nd of the season	Yes	1
abandon	be abandoned by@R@	the parties abandon the transaction	the transaction be abandoned by the parties	Yes	1
wear	begin wear	Gators wear jean shorts	Gators begin wear jean shorts	Yes	1
be accessible for	be opened to	only one be accessible for tourists	only one be opened to tourists	Yes	1
appreciate	mean a lot to@R@	Readers appreciate Holly	Holly mean a lot to Readers	Yes	1
increase	boost	Alcohol increase dizziness or drowsiness	Alcohol boost dizziness or drowsiness	Yes	1
search in	look throughout	him search in the king 's library	him look throughout the king 's library	Yes	1
go through	be thru	your sons go through the DARE program	your sons be thru the DARE program	Yes	1
be completed on	get done on	A thorough background investigation be completed on applicants	A thorough background investigation get done on applicants	Yes	1
dont like	dont care about	u dont like my blOg	u dont care about my blOg	Yes	1
defend	be ready to defend	Iran defend itself	Iran be ready to defend itself	Yes	1
run down	roll down	A shiver run down my spine	A shiver roll down my spine	Yes	1
be available for	be compatible with	the venue be available for weddings	the venue be compatible with weddings	Yes	1
have link to	provide link to	This Website have link to other sites	This Website provide link to other sites	Yes	1
be engraved on	be marked on	His name be engraved on the village War Memorial	His name be marked on the village War Memorial	Yes	1
be made based on	be done based on	revisions be made based on events	revisions be done based on events	Yes	1
slip from	slip out of	power slip from its hands	power slip out of its hands	Yes	1
put link to	have a link to	all your friends put link to this website	all your friends have a link to this website	Yes	1
become interested in	have an interest in	Teddy become interested in science	Teddy have an interest in science	Yes	1
take an interest in	take interest in	Bateson take an interest in Bandler and Grinder	Bateson take interest in Bandler and Grinder	Yes	1
match	match with	your skills match the job description	your skills match with the job description	Yes	1
rely on	become dependent on	The system rely on computers	The system become dependent on computers	Yes	1
be seen in	be visible in	the impact be seen in long term	the impact be visible in long term	Yes	1
be used on	be suitable for	This information be used on an article	This information be suitable for an article	Yes	1
love for	desire for	Tom love for taylor	Tom desire for taylor	Yes	1
be terrified of	have a fear of	My son be terrified of him	My son have a fear of him	Yes	1
await	wait	Other co-defendants await trial	Other co-defendants wait trial	Yes	1
be arrested	be arrested on	Gandhi be arrested many times	Gandhi be arrested on many times	Yes	1
be called by	be mentioned by	Special meetings be called by the Chair	Special meetings be mentioned by the Chair	Yes	1
be known as	be described as	the owner of an LLC be known as a member	the owner of an LLC be described as a member	Yes	1
hijack	try to take over	Chakotay hijack the ship	Chakotay try to take over the ship	Yes	1
be put off	be forced off	farmers be put off the land	farmers be forced off the land	Yes	1
ensure	be the key to	these elements ensure your success	these elements be the key to your success	Yes	1
be measured in	be expressed in	The amplitude be measured in decibels	The amplitude be expressed in decibels	Yes	1
have thousand of	have lot of	These list have thousand of names	These list have lot of names	Yes	1
be drawn from	be extracted from	Blood be drawn from your arm	Blood be extracted from your arm	Yes	1
appreciate	mean a lot to@R@	Customers appreciate the suggestion	the suggestion mean a lot to Customers	Yes	1
be safe for	be considered safe for	This post be safe for Work	This post be considered safe for Work	Yes	1
be an excerpt from	be taken from	Table 1 be an excerpt from that report	Table 1 be taken from that report	Yes	1
be a consultant to	do work for	Dan be a consultant to cities	Dan do work for cities	Yes	1
major in	study	Students major in Communication	Students study Communication	Yes	1
be increased in	be larger in	these tribes be increased in number	these tribes be larger in number	Yes	1
clarify	be clear about	the McCain campaign clarify the remarks	the McCain campaign be clear about the remarks	Yes	1
fall to	fall on	snow fall to the ground	snow fall on the ground	Yes	1
be hung in	be hung up in	The tops be hung in the cage	The tops be hung up in the cage	Yes	1
take up a lot of	occupy a lot of	all of them take up a lot of room	all of them occupy a lot of room	Yes	1
be proud of	be pleased with	Greenwich be proud of its maritime history	Greenwich be pleased with its maritime history	Yes	1
try to make	look to make	Drew Barrymore try to make love	Drew Barrymore look to make love	Yes	1
recommend	recomend	prospects recommend your business	prospects recomend your business	Yes	1
be done	be done in	the payroll be done each month	the payroll be done in each month	Yes	1
come via	be provided via	Updates come via email	Updates be provided via email	Yes	1
be loaded into	be loaded on	a TSR program be loaded into memory	a TSR program be loaded on memory	Yes	1
work as	be hired as	Some children work as guides	Some children be hired as guides	Yes	1
be designed in	be developed in	systems be designed in this manner	systems be developed in this manner	Yes	1
make of	be built out of	the cross make of cloth	the cross be built out of cloth	Yes	1
start think about	begin think about	the fish start think about spawning	the fish begin think about spawning	Yes	1
marry in	be married in	a non-Catholic marry in the Church	a non-Catholic be married in the Church	Yes	1
hear about	hear of	Every Christian hear about spiritual warfare	Every Christian hear of spiritual warfare	Yes	1
purchase	acquire	consumers purchase parts	consumers acquire parts	Yes	1
be compensated by	receive payment from	Bush be compensated by Dubai	Bush receive payment from Dubai	Yes	1
wake up in	wake with	THE GUYS wake up in THE MORNING	THE GUYS wake with THE MORNING	Yes	1
monitor the progress of	see the progress of	Candidates monitor the progress of students	Candidates see the progress of students	Yes	1
be available on	be made available on	The video be available on YouTube	The video be made available on YouTube	Yes	1
be surprised at	be amazed with	Scientists be surprised at the finding	Scientists be amazed with the finding	Yes	1
commit a crime against	abuse	its employees commit a crime against humanity	its employees abuse humanity	Yes	1
be open for	be served at@R@	The lounge be open for lunch and dinner	lunch and dinner be served at The lounge	Yes	1
stumble upon	run across	glad i stumble upon this site	glad i run across this site	Yes	1
produce	manufacture	These technologies produce contaminants	These technologies manufacture contaminants	Yes	1
be engraved on	be written on	His name be engraved on the village War Memorial	His name be written on the village War Memorial	Yes	1
hold about	hold to	the black 8-gigabyte iPhone 3G model hold about 2,000 songs	the black 8-gigabyte iPhone 3G model hold to 2,000 songs	Yes	1
have a love for	share my love of	My father have a love for education	My father share my love of education	Yes	1
be introduced into	be introduced to	HIV be introduced into the gay population	HIV be introduced to the gay population	Yes	1
paint	present	A picture paint a thousand words	A picture present a thousand words	Yes	1
meet on	meet up on	The clubs meet on Long Island	The clubs meet up on Long Island	Yes	1
resent	be appalled by	the Chinese resent British rule	the Chinese be appalled by British rule	Yes	1
play a crucial role in	be an essential component of	the pineal gland play a crucial role in the circadian rhythm	the pineal gland be an essential component of the circadian rhythm	Yes	1
be divided into	be devided into	the drachma be divided into 100 lepta	the drachma be devided into 100 lepta	Yes	1
be categorized into	be subdivided into	Picasso be categorized into periods	Picasso be subdivided into periods	Yes	1
culminate with	culminate in	The series culminate with races	The series culminate in races	Yes	1
be happy about	seem to like	Not everyone be happy about this change	Not everyone seem to like this change	Yes	1
have a wealth of	offer a wealth of	their website have a wealth of information	their website offer a wealth of information	Yes	1
plan to keep	be gonna keep	The new owners plan to keep the name	The new owners be gonna keep the name	Yes	1
span more than	go on for over	a career span more than 20 years	a career go on for over 20 years	Yes	1
be more fond of	have a soft spot for	The Mongols be more fond of paper money	The Mongols have a soft spot for paper money	Yes	1
be held for	last for about	Evening Classes be held for two hours	Evening Classes last for about two hours	Yes	1
ride to	head towards	Our group ride to the finish	Our group head towards the finish	Yes	1
be aimed for	be geared to	This software be aimed for authors	This software be geared to authors	Yes	1
appear at	be present at	the first buyer appear at your door	the first buyer be present at your door	Yes	1
describe	present	This section describe a sample application	This section present a sample application	Yes	1
spend about	spend around	Visitors spend about two hours	Visitors spend around two hours	Yes	1
be responsible for	assume any responsibility for	The author be responsible for any damage	The author assume any responsibility for any damage	Yes	1
have hundred of	offer a large selection of	lawyers have hundred of other cases	lawyers offer a large selection of other cases	Yes	1
get a lot of	attract a great deal of	doctors get a lot of free samples	doctors attract a great deal of free samples	Yes	1
be the best known of	be the most famous of	Histamine be the best known of these chemicals	Histamine be the most famous of these chemicals	Yes	1
be happy with	prefer	Nobody be happy with the compromise	Nobody prefer the compromise	Yes	1
be delivered to	be supplied to	The report be delivered to the secretary	The report be supplied to the secretary	Yes	1
weigh about	weigh	the fish weigh about 15 lbs	the fish weigh 15 lbs	Yes	1
have a variety of	have a great selection of	the kit have a variety of uses	the kit have a great selection of uses	Yes	1
be a rite of	be a point of	male circumcision be a rite of passage	male circumcision be a point of passage	Yes	1
be proud of	be happy with	All of you be proud of yourselves	All of you be happy with yourselves	Yes	1
be vital for	help in	Water be vital for survival	Water help in survival	Yes	1
happen through	be achieved through	experience happen through trial and error	experience be achieved through trial and error	Yes	1
be closed for	be closed on	school be closed for Veterans Day	school be closed on Veterans Day	Yes	1
affect	impact	your choices affect the outcome	your choices impact the outcome	Yes	1
have several problem with	be disappointed with	Consumer have several problem with transmission	Consumer be disappointed with transmission	Yes	1
solve the mystery of	discover the secret of	authorities solve the mystery of her disappearance	authorities discover the secret of her disappearance	Yes	1
be beneficial for	be recommended for	Payday loans be beneficial for salaried individuals	Payday loans be recommended for salaried individuals	Yes	1
be full of	be rich in	this one be full of character	this one be rich in character	Yes	1
take out	remove	the husband take out a box	the husband remove a box	Yes	1
stay from	turn from	a character stay from stereotypes	a character turn from stereotypes	Yes	1
work ok for	be ok for	the program work ok for a while	the program be ok for a while	Yes	1
be the most important part of	be a crucial part of	the P.S. be the most important part of a letter	the P.S. be a crucial part of a letter	Yes	1
reach out to	care about	the project reach out to patients	the project care about patients	Yes	1
reduce	cut down on	The administration reduce training	The administration cut down on training	Yes	1
approach	turn to	the supervisor approach him	the supervisor turn to him	Yes	1
experience	undergo	men experience prostate problems	men undergo prostate problems	Yes	1
deal with	be affected by	children deal with the death of loved ones	children be affected by the death of loved ones	Yes	1
be satisfying to	be satisfactory for	artistic , sensitive , or spiritually inclined people be satisfying to him	artistic , sensitive , or spiritually inclined people be satisfactory for him	Yes	1
abandon	desert	the parties abandon the transaction	the parties desert the transaction	Yes	1
purchase	pick up	others purchase the game	others pick up the game	Yes	1
offer a comprehensive range of	have a wide range of	The Business Center offer a comprehensive range of services	The Business Center have a wide range of services	Yes	1
be open to	be available to	The survey be open to students	The survey be available to students	Yes	1
reflect	represent	Websites reflect their owners	Websites represent their owners	Yes	1
be grateful for	appreciate	the artist be grateful for the opportunity	the artist appreciate the opportunity	Yes	1
punch	smash	Josiah punch him	Josiah smash him	Yes	1
be rare in	be found in	anaphylactic reactions be rare in patients	anaphylactic reactions be found in patients	Yes	1
provide food for	eat@R@	the algae provide food for the coral	the coral eat the algae	Yes	1
hope for	aim for	Egypt hope for a long-term truce	Egypt aim for a long-term truce	Yes	1
join	join in	Jane join her sister	Jane join in her sister	Yes	1
be made for	be provided for	Every effort be made for students	Every effort be provided for students	Yes	1
team with	announce a partnership with	Palmer team with Jack Nicklaus	Palmer announce a partnership with Jack Nicklaus	Yes	1
start in	be expected to commence in	Building start in November	Building be expected to commence in November	Yes	1
come look for	set out to find	this guy come look for an argument	this guy set out to find an argument	Yes	1
accept	welcome	Lewis accept this truth	Lewis welcome this truth	Yes	1
come from	originate in	The Messiah come from the tribe of Judah	The Messiah originate in the tribe of Judah	Yes	1
reach	arrive at	the sample reach 30.degree	the sample arrive at 30.degree	Yes	1
have access to	be given access to	the debugger have access to the source code	the debugger be given access to the source code	Yes	1
be interested in make	want to make	keyboard player be interested in make music	keyboard player want to make music	Yes	1
be similar for	be similar across	the user interface be similar for the programs	the user interface be similar across the programs	Yes	1
think about	think of	Ive think about my future	Ive think of my future	Yes	1
post in	be active on	Rob Caron post in his blog	Rob Caron be active on his blog	Yes	1
spend 17 year in	gain experience in	Porter spend 17 year in the NBA	Porter gain experience in the NBA	Yes	1
be fascinated with	be drawn to	America be fascinated with magic	America be drawn to magic	Yes	1
be grateful to	be appreciative of	the United States be grateful to Germany	the United States be appreciative of Germany	Yes	1
watch over	look on	FINRA watch over its members	FINRA look on its members	Yes	1
be optimal for	make the most sense for	a newspaper be optimal for advertising	a newspaper make the most sense for advertising	Yes	1
be dedicated to	be reserved for	The new facility be dedicated to research	The new facility be reserved for research	Yes	1
increase with	worsen with	The risks increase with age	The risks worsen with age	Yes	1
stand at	be situated at	Christine stand at the window	Christine be situated at the window	Yes	1
long to see	enjoy hang out with	Yang long to see Lau	Yang enjoy hang out with Lau	Yes	1
appear on	be displayed on	the material appear on screen	the material be displayed on screen	Yes	1
seem to make	make	this argument seem to make sense	this argument make sense	Yes	1
be a place for	be place for	Disneyland be a place for kids of all ages	Disneyland be place for kids of all ages	Yes	1
be all over	be spread all over	content be all over the internet	content be spread all over the internet	Yes	1
have link to	have a list of	This Website have link to other sites	This Website have a list of other sites	Yes	1
be grateful for	be touched by	the community be grateful for the support	the community be touched by the support	Yes	1
be all about	stress	this post be all about the differences	this post stress the differences	Yes	1
