rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
deny	affirm	The government deny these charges	The government affirm these charges	No	1
prepare for	celebrate	The Bagger prepare for Sundance	The Bagger celebrate Sundance	No	1
keep get into	gonna get in	Some of us keep get into trouble	Some of us gonna get in trouble	No	1
get anything in	see anyone in	no one get anything in this country	no one see anyone in this country	No	1
own	work at	most of us own these items	most of us work at these items	No	1
recommend take	need to take	Doctors recommend take Frova	Doctors need to take Frova	No	1
fight with	beat	Sasuke fight with Kakashi	Sasuke beat Kakashi	No	1
spend time with	get along with	the children spend time with Jim	the children get along with Jim	No	1
deny	seek	a religion deny God	a religion seek God	No	1
distribute	restrict	MIT distribute systems	MIT restrict systems	No	1
be chained to	fall against	Angel be chained to the bed	Angel fall against the bed	No	1
discuss the importance of	see a lack of	President Obama discuss the importance of faith	President Obama see a lack of faith	No	1
stare in	shout in	the husband stare in disbelief	the husband shout in disbelief	No	1
leave with	die with	Linda leave with Chris	Linda die with Chris	No	1
be provided	be done	This software be provided as-is	This software be done as-is	No	1
be given a tour of	vacate	students be given a tour of the medical school	students vacate the medical school	No	1
join with	teach@R@	All our family join with him	him teach All our family	No	1
caress	tickle	Karen caress him	Karen tickle him	No	1
smile at	stare at	'She smile at him	'She stare at him	No	1
speak	speak broken	some staff speak English	some staff speak broken English	No	1
tend to neglect	be occupied with	Robert tend to neglect his family	Robert be occupied with his family	No	1
marry	catch up with	Noe Schitt marry Ted Sherlock	Noe Schitt catch up with Ted Sherlock	No	1
experience anything like	speak like	anybody experience anything like this before	anybody speak like this before	No	1
speak for	be an end in	This picture speak for itself	This picture be an end in itself	No	1
come with	save@R@	this one come with a disclaimer	a disclaimer save this one	No	1
be familar with	be brand new to	your audience be familar with all this	your audience be brand new to all this	No	1
take bus to	spend the night in	the team take bus to New Jersey	the team spend the night in New Jersey	No	1
descend on	find your hotel in	10,500 athletes descend on Beijing	10,500 athletes find your hotel in Beijing	No	1
be given to	be important to	Applications be given to eligible students	Applications be important to eligible students	No	1
be dragged from	be assaulted in	The victims be dragged from their homes	The victims be assaulted in their homes	No	1
receive comment from	want to hear from	The staff receive comment from the manufacturers	The staff want to hear from the manufacturers	No	1
plan a trip to	love to go to	the reader plan a trip to Italy	the reader love to go to Italy	No	1
have to	want to	Each user have to download	Each user want to download	No	1
make a lot of	stop make	bands make a lot of money	bands stop make money	No	1
shake she head in	smile in	Elizabeth shake she head in denial	Elizabeth smile in denial	No	1
be prepared for	be subjected to	Retailers be prepared for a downturn	Retailers be subjected to a downturn	No	1
spend a year in	be born near	my family spend a year in Europe	my family be born near Europe	No	1
be kind to	yell at	Jock be kind to him	Jock yell at him	No	1
speak for	be a feat in	This picture speak for itself	This picture be a feat in itself	No	1
love to make	be good at make	many people love to make money	many people be good at make money	No	1
help rescue	have the opportunity to listen to	the social worker help rescue him	the social worker have the opportunity to listen to him	No	1
have one thing on	have sex on	the Germans have one thing on their minds	the Germans have sex on their minds	No	1
receive comment from	invite comment from	The staff receive comment from the manufacturers	The staff invite comment from the manufacturers	No	1
sleep with	flirt with	Asa sleep with his fathers	Asa flirt with his fathers	No	1
be aware of	need to be aware of	the Support Center be aware of the problem	the Support Center need to be aware of the problem	No	1
be the biggest city in	be the first city in	New York be the biggest city in the United States	New York be the first city in the United States	No	1
need for	view our list of	Applicants need for financial assistance	Applicants view our list of financial assistance	No	1
respect	infringe on	friends respect privacy	friends infringe on privacy	No	1
be different from	be good as	Your password be different from your username	Your password be good as your username	No	1
be left to fend for	seem to enjoy	the rest of us be left to fend for ourselves	the rest of us seem to enjoy ourselves	No	1
enjoy play	grow up play	the performer enjoy play music	the performer grow up play music	No	1
drink during	sing during	women drink during pregnancy	women sing during pregnancy	No	1
leave for	come home from	him leave for singapore	him come home from singapore	No	1
need to do	try do	the University need to do more	the University try do more	No	1
arrive at	depart	Two helicopters arrive at the scene	Two helicopters depart the scene	No	1
have to	seem to	one man have to score	one man seem to score	No	1
eat dinner with	spend the day with	Kelly eat dinner with her family	Kelly spend the day with her family	No	1
consider	adopt	These committees consider legislation	These committees adopt legislation	No	1
remind	call on	Tyra remind CariDee	Tyra call on CariDee	No	1
cheat on	treat	My best friend cheat on his girlfriend	My best friend treat his girlfriend	No	1
have a crush on	look after	Mai have a crush on Andy	Mai look after Andy	No	1
head for	sit at	Hurricane Rita head for Texas	Hurricane Rita sit at Texas	No	1
clean off	look great on	your pants clean off your body	your pants look great on your body	No	1
hate	get used to	That man hate his country	That man get used to his country	No	1
launch	update	Cole launch his business	Cole update his business	No	1
be generous of	be fortunate for	Some of them be generous of their time	Some of them be fortunate for their time	No	1
be ready to face	overcome	Caleb Holt be ready to face his toughest job	Caleb Holt overcome his toughest job	No	1
appear in	appear most in	the three men appear in court	the three men appear most in court	No	1
pray for	be blessed with	The consultation pray for guidance	The consultation be blessed with guidance	No	1
be headed to	like to go to	his wife be headed to Greenwood	his wife like to go to Greenwood	No	1
visit in	retire in	no one visit in years	no one retire in years	No	1
come ask for	come to offer	somebody come ask for his assistance	somebody come to offer his assistance	No	1
be divorced from	be subordinated to	rarity be divorced from beauty	rarity be subordinated to beauty	No	1
get a lot of	have a couple of	Stu get a lot of things	Stu have a couple of things	No	1
be removed from	stay on	the caffeine be removed from the coffee	the caffeine stay on the coffee	No	1
spend lot of	run out for@R@	the members spend lot of time and efforts	time and efforts run out for the members	No	1
be put off	take the fun out of	farmers be put off the land	farmers take the fun out of the land	No	1
be born in	represent	Jackie be born in Chicago	Jackie represent Chicago	No	1
be distinguished from	be confused with@R@	Crew be distinguished from cast	cast be confused with Crew	No	1
be told to have	refuse to have	women be told to have a career	women refuse to have a career	No	1
have sex with	date	other women have sex with women	other women date women	No	1
lay in	be near	The corpses lay in piles	The corpses be near piles	No	1
search for	order	Members search for a cruise	Members order a cruise	No	1
dont talk about	talk a lot about	Women dont talk about these things	Women talk a lot about these things	No	1
get to pay for	get to clean	Somebody get to pay for sin	Somebody get to clean sin	No	1
be proud of	smile at	All of you be proud of yourselves	All of you smile at yourselves	No	1
play on	win on	The bands play on an elevated stage	The bands win on an elevated stage	No	1
run out of	run to	Bruno run out of the room	Bruno run to the room	No	1
move with	be with	The prince move with his daughter	The prince be with his daughter	No	1
vote in	act in	Only registered users vote in polls	Only registered users act in polls	No	1
coast on	be jealous of	The US coast on its national debt	The US be jealous of its national debt	No	1
be a little small for	be set up for	the rooms be a little small for 4 people	the rooms be set up for 4 people	No	1
revert to	deviate from	the rights revert to the author	the rights deviate from the author	No	1
be smarter than	ask	My dad be smarter than your dad	My dad ask your dad	No	1
sign a letter of	have a change of	Abraham sign a letter of intention	Abraham have a change of intention	No	1
gain	need to lose	the Allies gain the upper hand	the Allies need to lose the upper hand	No	1
live outside	reside in	family live outside your area	family reside in your area	No	1
be new to	deal with	student be new to computers	student deal with computers	No	1
migrate to	immigrate from	Spann migrate to Chicago	Spann immigrate from Chicago	No	1
plop in	rise from	Crystal plop in her chair	Crystal rise from her chair	No	1
search for	abandon	Users search for lessons	Users abandon lessons	No	1
step in for	pull over for	Michelle Obama step in for her husband	Michelle Obama pull over for her husband	No	1
owe to	work for	Americans owe to these soldiers	Americans work for these soldiers	No	1
be drawn to	look into	some young people be drawn to these days	some young people look into these days	No	1
violate the rights of	cause the death of	the Agreement violate the rights of refugees	the Agreement cause the death of refugees	No	1
be good for	expire after	the rivalry be good for the state	the rivalry expire after the state	No	1
admire	feel sorry for	Tim admire his older brother	Tim feel sorry for his older brother	No	1
be advised to review	make change to	Members be advised to review the rules	Members make change to the rules	No	1
care for	connect with	families and friends care for older people	families and friends connect with older people	No	1
be great in	be funny in	The detail be great in this shot	The detail be funny in this shot	No	1
remember at	agree at	Somebody remember at least	Somebody agree at least	No	1
have a crush on	hang out with	Michael Skakel have a crush on Martha Moxley	Michael Skakel hang out with Martha Moxley	No	1
be sold by	be introduced by	Joseph be sold by his brethren	Joseph be introduced by his brethren	No	1
put on	be put on	Many churches put on plays	Many churches be put on plays	No	1
be a list of	find a list of	the UFOC be a list of franchisees	the UFOC find a list of franchisees	No	1
need to repeat	see the result of	Users need to repeat this cycle	Users see the result of this cycle	No	1
speak	be native speaker of	him speak those words	him be native speaker of those words	No	1
go up to	sleep in	Gloria go up to Canada	Gloria sleep in Canada	No	1
need to be honest with	have more time to spend with	Husbands and wives need to be honest with each other	Husbands and wives have more time to spend with each other	No	1
call my attention to	get a chuckle out of	A reader call my attention to a statement	A reader get a chuckle out of a statement	No	1
propagate	systematize	A program propagate itself	A program systematize itself	No	1
be the most important part of	be the only part of	the P.S. be the most important part of a letter	the P.S. be the only part of a letter	No	1
want to play	read	the kids want to play all day	the kids read all day	No	1
contain link to	be a listing of	This web site contain link to other sites	This web site be a listing of other sites	No	1
have full knowledge of	have authority over	Allah have full knowledge of all things	Allah have authority over all things	No	1
shut	switch	Oil companies shut refineries	Oil companies switch refineries	No	1
be concerned about	be committed to	many companies be concerned about cash flow	many companies be committed to cash flow	No	1
be entertained with	be relieved with	Guests be entertained with Christmas carols	Guests be relieved with Christmas carols	No	1
turn down	adjust	voters turn down the propositions	voters adjust the propositions	No	1
go out of	come into	The media go out of their way	The media come into their way	No	1
stop by	hang out at	Peyton stop by her old house	Peyton hang out at her old house	No	1
violate the rights of	support the right of	the Agreement violate the rights of refugees	the Agreement support the right of refugees	No	1
spend much time on	spend less time on	Elisabeth spend much time on her own	Elisabeth spend less time on her own	No	1
shake	grab	The Red Queen shake her head	The Red Queen grab her head	No	1
die for	repent of	the disciples die for their faith	the disciples repent of their faith	No	1
obey	fail to follow	Joseph obey the angel	Joseph fail to follow the angel	No	1
dissect	be bitten by	your class dissect animals	your class be bitten by animals	No	1
have a special meaning to	guess the name of@R@	various things have a special meaning to him	him guess the name of various things	No	1
please return	please get	Students please return their applications	Students please get their applications	No	1
arrive at	head for	Ferry services arrive at the port	Ferry services head for the port	No	1
remain on	be placed on	All traffic remain on your site	All traffic be placed on your site	No	1
come for	be home for	Gary come for a few days	Gary be home for a few days	No	1
try to change	forget	some women try to change things	some women forget things	No	1
want to drive	want to rent	everybody want to drive a Porsche	everybody want to rent a Porsche	No	1
move with	turn with	The prince move with his daughter	The prince turn with his daughter	No	1
wear	be forced to wear	Hermione wear a smirk	Hermione be forced to wear a smirk	No	1
say in	tell the associated press in	The judge say in his ruling	The judge tell the associated press in his ruling	No	1
erase all of	validate	Most libraries erase all of this information	Most libraries validate this information	No	1
want to thank	speak with	The couple want to thank their families and friends	The couple speak with their families and friends	No	1
threaten	lend	husbands threaten their wives	husbands lend their wives	No	1
be familar with	havent heard of	your audience be familar with all this	your audience havent heard of all this	No	1
join	manage editor of	Anderson join the U.S. Air Force	Anderson manage editor of the U.S. Air Force	No	1
seek	attach	Chrysler seek a loan	Chrysler attach a loan	No	1
be worthy of	be subject to change without	the following be worthy of mention	the following be subject to change without mention	No	1
attend	be unable to attend	Nobody attend this meetup	Nobody be unable to attend this meetup	No	1
play for	want to play for	an American football player play for the New Orleans Saints of the NFL	an American football player want to play for the New Orleans Saints of the NFL	No	1
put a stop to	do nothing to stop	President-elect Barack Obama put a stop to efforts	President-elect Barack Obama do nothing to stop efforts	No	1
drive	drive up	the mind drive the body	the mind drive up the body	No	1
be comparable to	be cheaper than	Gothic 3 be comparable to Oblivion	Gothic 3 be cheaper than Oblivion	No	1
look around	find	Seth look around him	Seth find him	No	1
be persecuted in	seek refuge in	Christians be persecuted in this country	Christians seek refuge in this country	No	1
be an avid user of	stop use	Sherlock Holmes be an avid user of opium	Sherlock Holmes stop use opium	No	1
irk	make no sense to	the move irk shareholders	the move make no sense to shareholders	No	1
pass	vote against	Georgia pass Saturday	Georgia vote against Saturday	No	1
sit like	dance like	This girl sit like a champ	This girl dance like a champ	No	1
be a member of	be a charter member of	This user be a member of any groups	This user be a charter member of any groups	No	1
explain	modify	the structure explain the stability	the structure modify the stability	No	1
be confidential in	be historical in	these reports be confidential in nature	these reports be historical in nature	No	1
result in	be the result of	globalization result in cultural uniformity	globalization be the result of cultural uniformity	No	1
have dinner on	write this on	Tom have dinner on the table	Tom write this on the table	No	1
be packaged for	be picked up for	Your order be packaged for your privacy and protection	Your order be picked up for your privacy and protection	No	1
increase the cost of	increase demand for	Regulations increase the cost of building	Regulations increase demand for building	No	1
be felt in	spread beyond	The pain be felt in the chest	The pain spread beyond the chest	No	1
be vulnerable to	be protected against	the country be vulnerable to sea level rise	the country be protected against sea level rise	No	1
be drawn to	be focused on	Charlie Brown be drawn to Snoopy	Charlie Brown be focused on Snoopy	No	1
be dedicated by	be extended by	The ietf be dedicated by the internet architecture board	The ietf be extended by the internet architecture board	No	1
plop in	spin in	Crystal plop in her chair	Crystal spin in her chair	No	1
be a senior at	hold an mba from	Chris be a senior at Boston College	Chris hold an mba from Boston College	No	1
be critical to	be the secret to	Peer review be critical to the standards	Peer review be the secret to the standards	No	1
be happy about	regret	Not everyone be happy about this change	Not everyone regret this change	No	1
be prevent	cause	The medicine be prevent withdrawal symptoms	The medicine cause withdrawal symptoms	No	1
sleep with	sit with	Asa sleep with his fathers	Asa sit with his fathers	No	1
be better off use	search the web for	FEMA be better off use LIDAR	FEMA search the web for LIDAR	No	1
have a large number of	have hundred of	This department have a large number of students	This department have hundred of students	No	1
get out of	be behind	the soldier get out of his car	the soldier be behind his car	No	1
oblige to	rewrite to	Joe oblige to him	Joe rewrite to him	No	1
twist	shave	The acupuncturist twist the needles	The acupuncturist shave the needles	No	1
close	shake	God close a door	God shake a door	No	1
think about	understand	guys think about this shot	guys understand this shot	No	1
lie on	be knocked to	your partner lie on her back	your partner be knocked to her back	No	1
be an excerpt from	be the second part of	Table 1 be an excerpt from that report	Table 1 be the second part of that report	No	1
edit	upload	No one edit your post	No one upload your post	No	1
thank	trust	Beth thank brian	Beth trust brian	No	1
be subjected to	be prepared for	Israel be subjected to the Roman empire	Israel be prepared for the Roman empire	No	1
be lit at	be open at	lanterns be lit at night	lanterns be open at night	No	1
wear	clean	Others wear military uniforms	Others clean military uniforms	No	1
propose	be gracious to	EPA propose new procedures	EPA be gracious to new procedures	No	1
be reported to	be reviewed by	this change be reported to immigration	this change be reviewed by immigration	No	1
know none of	know any of	him know none of the three teams	him know any of the three teams	No	1
drop out of	study act at	A lot of people drop out of school	A lot of people study act at school	No	1
be similar to	be known as	The process be similar to the surgery	The process be known as the surgery	No	1
sit next to	talk to	Most students sit next to students	Most students talk to students	No	1
grab	push	Whistler grab him	Whistler push him	No	1
thank	meet with	Charisse thank him	Charisse meet with him	No	1
discuss	organize	Friedman discuss his life	Friedman organize his life	No	1
travel with	be reunited with	Many families travel with young children	Many families be reunited with young children	No	1
reconcile	wrestle with	Christ reconcile sinners	Christ wrestle with sinners	No	1
provide food for	attract	the algae provide food for the coral	the algae attract the coral	No	1
propagate	unravel	A program propagate itself	A program unravel itself	No	1
gaze up at	lean closer to	his grandson gaze up at him	his grandson lean closer to him	No	1
result in	force	globalization result in cultural uniformity	globalization force cultural uniformity	No	1
apologize to	congratulate	Lawler apologize to the crowd	Lawler congratulate the crowd	No	1
be persecuted in	be citizen of	Christians be persecuted in this country	Christians be citizen of this country	No	1
forgive	pray for	God forgive him	God pray for him	No	1
grab	break	Paul grab her hips	Paul break her hips	No	1
help take care of	want to care for	Thomas help take care of the babies	Thomas want to care for the babies	No	1
start work on	want to work on	Aamir start work on his body	Aamir want to work on his body	No	1
be sold throughout	be more expensive in	These dogs be sold throughout America	These dogs be more expensive in America	No	1
introduce	oppose	Disney introduce him	Disney oppose him	No	1
favor	characterize	an economic policy favor the rich	an economic policy characterize the rich	No	1
walk into	walk past	This guy walk into a pub	This guy walk past a pub	No	1
stop with	follow with	the changes stop with childbirth	the changes follow with childbirth	No	1
do much care for	doesnt like	Natalie do much care for him	Natalie doesnt like him	No	1
start to	tend to	The ceiling start to cave	The ceiling tend to cave	No	1
call on	inform	the WWF call on governments	the WWF inform governments	No	1
stare at	lean against	The girl stare at him	The girl lean against him	No	1
spread	raise	the winds spread fires	the winds raise fires	No	1
prepare for	make the most of	Russia prepare for pre-emptive strikes	Russia make the most of pre-emptive strikes	No	1
bow	scratch	the father bow his head	the father scratch his head	No	1
have solution for	have program for	the equations have solution for x and y	the equations have program for x and y	No	1
plop in	be curled up in	Crystal plop in her chair	Crystal be curled up in her chair	No	1
explain	review	the latter explain the situation	the latter review the situation	No	1
arrive in	leave for	Our guests arrive in style	Our guests leave for style	No	1
be familar with	hope to learn more about	your audience be familar with all this	your audience hope to learn more about all this	No	1
be supported by	be produced by	The study be supported by the American Society	The study be produced by the American Society	No	1
get out of	be way out of	Indonesia get out of East Timor	Indonesia be way out of East Timor	No	1
be required by	be provided by	Javascript be required by this system	Javascript be provided by this system	No	1
trick	encounter	Odysseus trick him	Odysseus encounter him	No	1
like about	write about	qualities like about your character	qualities write about your character	No	1
have several version of	have a new version of	Offices have several version of Word	Offices have a new version of Word	No	1
affect	prevent	your choices affect the outcome	your choices prevent the outcome	No	1
be attracted to	be exposed to	Many people be attracted to Florida	Many people be exposed to Florida	No	1
teach at	be a junior at	Davis teach at Yale University	Davis be a junior at Yale University	No	1
be fixed in	be implemented in	a mistake be fixed in the future	a mistake be implemented in the future	No	1
be the best known of	be the oldest of	Histamine be the best known of these chemicals	Histamine be the oldest of these chemicals	No	1
forgive	forget about	God forgive him	God forget about him	No	1
be sure of	be surprised by	Democrats be sure of the answer	Democrats be surprised by the answer	No	1
go out of	see the error of	The media go out of their way	The media see the error of their way	No	1
clean off	be frozen to	your pants clean off your body	your pants be frozen to your body	No	1
inherit	donate	Jason Todd inherit the Batman	Jason Todd donate the Batman	No	1
demand	be entitled to	Leaders demand sacrifices	Leaders be entitled to sacrifices	No	1
be found outside of	lie within	salvation be found outside of the church	salvation lie within the church	No	1
remind	reassure	Tyra remind CariDee	Tyra reassure CariDee	No	1
take a look at	please see	my clients take a look at this site	my clients please see this site	No	1
be grateful for	be overwhelmed by	Kim be grateful for the info	Kim be overwhelmed by the info	No	1
wish to add to	add into	the customer wish to add to the shopping cart	the customer add into the shopping cart	No	1
worship	deal with	David worship Allah	David deal with Allah	No	1
pick up a lot of	lose a ton of	youl pick up a lot of material	youl lose a ton of material	No	1
be silenced by	whisper through	our voices be silenced by fear	our voices whisper through fear	No	1
be bad for	be important for	cat foods be bad for your cat	cat foods be important for your cat	No	1
want to work from	want to relax in	my students want to work from photos	my students want to relax in photos	No	1
pay better than	be more complete than	big companies pay better than small ones	big companies be more complete than small ones	No	1
pay for	speak for	The tenant pay for professional cleaning	The tenant speak for professional cleaning	No	1
have branch in	be based out of	Ltd have branch in Asia	Ltd be based out of Asia	No	1
be knowledgeable about	introduce	employees be knowledgeable about the products	employees introduce the products	No	1
be surprised at	be satisfied with	Analysts be surprised at the move	Analysts be satisfied with the move	No	1
be crushed to	be shot to	Two women be crushed to death	Two women be shot to death	No	1
become aware of	identify with	our clients become aware of the connection	our clients identify with the connection	No	1
fix	deliver	the court fix the terms	the court deliver the terms	No	1
be confidential in	be collaborative in	these reports be confidential in nature	these reports be collaborative in nature	No	1
look to meet	love to meet	School officials look to meet parents	School officials love to meet parents	No	1
have an advantage over	have an edge over@R@	Video games have an advantage over classes	classes have an edge over Video games	No	1
be happy about	find out about	Not everyone be happy about this change	Not everyone find out about this change	No	1
be reviewed by	be prepared by	The information be reviewed by Commission staff	The information be prepared by Commission staff	No	1
take a road trip to	be stranded in	the crew take a road trip to Bristol	the crew be stranded in Bristol	No	1
apply in	be different in	students apply in person	students be different in person	No	1
bake	frost	many families bake Christmas cookies	many families frost Christmas cookies	No	1
be held hostage by	hide among@R@	Our lives be held hostage by Our failures	Our failures hide among Our lives	No	1
smile at	whisper to	'She smile at him	'She whisper to him	No	1
play with	fuck	Chris play with him	Chris fuck him	No	1
type	need to write	nobody type that fast	nobody need to write that fast	No	1
be connected to	be made above	The kennel be connected to the house	The kennel be made above the house	No	1
be related to	be more genuine than@R@	Hopelessness be related to depression	depression be more genuine than Hopelessness	No	1
plan to send	need to send	The European Space Agency plan to send an orbiter	The European Space Agency need to send an orbiter	No	1
smile	sweat	his wife smile more	his wife sweat more	No	1
talk with	have lunch with	many people talk with the practitioners	many people have lunch with the practitioners	No	1
attend	be a 2001 graduate of	Nobody attend this meetup	Nobody be a 2001 graduate of this meetup	No	1
ask the question in	say the same thing in	the gentleman ask the question in Texas	the gentleman say the same thing in Texas	No	1
owe to	have confidence in	Americans owe to these soldiers	Americans have confidence in these soldiers	No	1
recover	invest	the defendant recover his costs	the defendant invest his costs	No	1
go on in	be wrong with	things go on in our lives	things be wrong with our lives	No	1
want to become	train as	Claude Monet want to become an artist	Claude Monet train as an artist	No	1
face the threat of	be spared	London face the threat of the IRA.	London be spared the IRA.	No	1
have several problem with	have the same problem with	Consumer have several problem with transmission	Consumer have the same problem with transmission	No	1
consider	identify	Investors consider the investment objectives	Investors identify the investment objectives	No	1
be sold by	be inherited by	Joseph be sold by his brethren	Joseph be inherited by his brethren	No	1
deliver	attract	God deliver my soul	God attract my soul	No	1
continue to play for	sign from	Omega continue to play for the 2008 Beijing Olympic Games	Omega sign from the 2008 Beijing Olympic Games	No	1
appear along	die along	the genes appear along each chromosome	the genes die along each chromosome	No	1
accept	seek	the adults accept the change	the adults seek the change	No	1
warn	beg	the chief warn him	the chief beg him	No	1
toss	take out	Nate toss Joey	Nate take out Joey	No	1
have one thing on	be next on	the Germans have one thing on their minds	the Germans be next on their minds	No	1
be rare for	be more common for	NITROFURANTOIN be rare for reactions	NITROFURANTOIN be more common for reactions	No	1
seem odd to	seem obvious to	practices seem odd to Americans	practices seem obvious to Americans	No	1
eat dinner with	have a close relationship with	Kelly eat dinner with her family	Kelly have a close relationship with her family	No	1
show off	want to improve	The boys show off their stuff	The boys want to improve their stuff	No	1
plan to send	refuse to send	The European Space Agency plan to send an orbiter	The European Space Agency refuse to send an orbiter	No	1
have a shot at	go on to win	the party have a shot at the nomination	the party go on to win the nomination	No	1
type	need to know	nobody type that fast	nobody need to know that fast	No	1
cancel	renew	Dell cancel the order	Dell renew the order	No	1
belong to	be made above	Athens belong to Minerva	Athens be made above Minerva	No	1
lie to	be honest with	Jacob lie to his blind father	Jacob be honest with his blind father	No	1
make this for	knit for	our daughter make this for him	our daughter knit for him	No	1
describe	promote	This list describe all possible interactions	This list promote all possible interactions	No	1
be required to	have the ability to	children be required to print	children have the ability to print	No	1
punch	whip	Josiah punch him	Josiah whip him	No	1
be fair to	be like for	an agreement be fair to all parties	an agreement be like for all parties	No	1
crave in	deserve in	many people crave in their church	many people deserve in their church	No	1
be willing to learn	hope to learn	The artists be willing to learn programming	The artists hope to learn programming	No	1
be named after	be discovered by	My younger son be named after him	My younger son be discovered by him	No	1
await	bring@R@	Mumm-Ra await Drag-Ron	Drag-Ron bring Mumm-Ra	No	1
marry for	wander for	Lewis marry for the first time	Lewis wander for the first time	No	1
wear	be required to wear	Hermione wear a smirk	Hermione be required to wear a smirk	No	1
dismiss	hear oral argument in	the Trial Court dismiss his cause of action	the Trial Court hear oral argument in his cause of action	No	1
change the composition of	reduce the size of	events change the composition of the population	events reduce the size of the population	No	1
be sorry for	be afraid of	a good son be sorry for his father	a good son be afraid of his father	No	1
be free of	be put in	mobile phones be free of charge	mobile phones be put in charge	No	1
appear before	represent client before	Gabriel appear before him	Gabriel represent client before him	No	1
be worried about	share with	parents be worried about their sons or daughters	parents share with their sons or daughters	No	1
want to boost	boost up	Obama want to boost the defense budget	Obama boost up the defense budget	No	1
sleep at	go over to	him sleep at night	him go over to night	No	1
break	want to break	Ben break the expense	Ben want to break the expense	No	1
find each of	explain each of	Readers find each of these books	Readers explain each of these books	No	1
be pregnant at	die at	Women be pregnant at the time of the survey	Women die at the time of the survey	No	1
be the size of	be a little bigger than	the limiting factor be the size of the media	the limiting factor be a little bigger than the media	No	1
be held at	follow in	Funeral services be held at First Baptist Church	Funeral services follow in First Baptist Church	No	1
be utilized	be encrypted	items be utilized all the time	items be encrypted all the time	No	1
want to shoot	need to shoot	Wild Bill want to shoot him	Wild Bill need to shoot him	No	1
gather over	grow over	the team gather over the past week	the team grow over the past week	No	1
pass	be expected to pass	the guests pass the parcel	the guests be expected to pass the parcel	No	1
erase all of	display all of	Most libraries erase all of this information	Most libraries display all of this information	No	1
make off with	hand over	The thieves make off with TVs	The thieves hand over TVs	No	1
acknowledge	be grateful for	everybody acknowledge his influence	everybody be grateful for his influence	No	1
win	carry	the Pittsburgh steelers win the Super Bowl	the Pittsburgh steelers carry the Super Bowl	No	1
be proud of	be worried about	Government be proud of its contribution	Government be worried about its contribution	No	1
resist	be more susceptible to	The village resist the Romans	The village be more susceptible to the Romans	No	1
have the chance to win	be the lucky winner of	All entrants have the chance to win prizes	All entrants be the lucky winner of prizes	No	1
avoid do	tend to do	these writers avoid do events	these writers tend to do events	No	1
provide food for	be poisonous to	the algae provide food for the coral	the algae be poisonous to the coral	No	1
set	need to set	Each bank set its own Prime Rate	Each bank need to set its own Prime Rate	No	1
feel the same way as	say goodnight to	Ada feel the same way as Inman	Ada say goodnight to Inman	No	1
be satisfied with	be surprised by	every person be satisfied with the course	every person be surprised by the course	No	1
arrive in	stay in	George Bush arrive in Washington	George Bush stay in Washington	No	1
think along	flubb	a few others think along the same lines	a few others flubb the same lines	No	1
pay to see	refuse to watch	Management pay to see results	Management refuse to watch results	No	1
write about	win the nobel prize in	Tom write about his life	Tom win the nobel prize in his life	No	1
thank	recommend	Beth thank brian	Beth recommend brian	No	1
be required at	be collected at	Retirement be required at the same time	Retirement be collected at the same time	No	1
learn from	care about	engineers learn from mistakes	engineers care about mistakes	No	1
be available upon	be available without	Past issues be available upon request	Past issues be available without request	No	1
be the inspiration for	be the best version of	The novel be the inspiration for the film	The novel be the best version of the film	No	1
be fascinated with	win the nobel prize in	America be fascinated with magic	America win the nobel prize in magic	No	1
be the best part of	be the same without@R@	the results be the best part of the job	the job be the same without the results	No	1
be compounded by	be most likely due to	The problem be compounded by rains	The problem be most likely due to rains	No	1
need to take	want	Governments need to take a comprehensive approach	Governments want a comprehensive approach	No	1
lobby	be executive editor of	a student group lobby the University	a student group be executive editor of the University	No	1
want to become	be employed as	Claude Monet want to become an artist	Claude Monet be employed as an artist	No	1
love for	talk to	Tom love for taylor	Tom talk to taylor	No	1
end for	begin for	Classes end for the semester	Classes begin for the semester	No	1
drive through	find accommodation in	April drive through the park	April find accommodation in the park	No	1
be rare in	spread to	anaphylactic reactions be rare in patients	anaphylactic reactions spread to patients	No	1
plop in	spend way much time in	Crystal plop in her chair	Crystal spend way much time in her chair	No	1
offer to	respect the privacy of	a hotel offer to its clients	a hotel respect the privacy of its clients	No	1
continue to play for	be traded to	Omega continue to play for the 2008 Beijing Olympic Games	Omega be traded to the 2008 Beijing Olympic Games	No	1
lay down on	jump on	Steve lay down on the floor	Steve jump on the floor	No	1
be excited for	wait to see	This team be excited for a while	This team wait to see a while	No	1
be a publication of	be a registered trademark of	the journal be a publication of the American Association	the journal be a registered trademark of the American Association	No	1
go into	be put in	3 guys go into a bar	3 guys be put in a bar	No	1
become aware of	be unaware of	our clients become aware of the connection	our clients be unaware of the connection	No	1
eavesdrop on	take job from	Kevin eavesdrop on Mary	Kevin take job from Mary	No	1
announce to	want from	the General Secretary announce to the President	the General Secretary want from the President	No	1
have one thing on	be a legend in	the Germans have one thing on their minds	the Germans be a legend in their minds	No	1
kick	defeat	Donna kick Julie	Donna defeat Julie	No	1
set up	close up	my father set up his own practice	my father close up his own practice	No	1
be put off	mean many thing to@R@	farmers be put off the land	the land mean many thing to farmers	No	1
look over at	sit beside@R@	Lisa look over at Brad	Brad sit beside Lisa	No	1
be fired in	be transferred in	journalists be fired in the morning	journalists be transferred in the morning	No	1
